Round,Date,Team 1,Team 2,FT,HT
28,2010-03-28,Bor. Mönchengladbach,Hamburger SV,1-0,1-0
29,2010-04-03,FC Schalke 04,Bayern München,1-2,1-2
29,2010-04-03,Eintracht Frankfurt,Bayer Leverkusen,3-2,1-1
29,2010-04-03,Borussia Dortmund,Werder Bremen,2-1,2-0
29,2010-04-03,SC Freiburg,VfL Bochum,1-1,1-1
29,2010-04-03,VfB Stuttgart,Bor. Mönchengladbach,2-1,0-1
29,2010-04-03,1. FC Nürnberg,1. FSV Mainz 05,2-0,2-0
29,2010-04-03,1. FC Köln,Hertha BSC,0-3,0-2
29,2010-04-04,VfL Wolfsburg,1899 Hoffenheim,4-0,1-0
29,2010-04-04,Hamburger SV,Hannover 96,0-0,0-0
30,2010-04-09,Bor. Mönchengladbach,Eintracht Frankfurt,2-0,1-0
30,2010-04-10,Hertha BSC,VfB Stuttgart,0-1,0-0
30,2010-04-10,1. FSV Mainz 05,Borussia Dortmund,1-0,1-0
30,2010-04-10,Hannover 96,FC Schalke 04,4-2,2-0
30,2010-04-10,1899 Hoffenheim,1. FC Köln,0-2,0-0
30,2010-04-10,Werder Bremen,SC Freiburg,4-0,1-0
30,2010-04-10,Bayer Leverkusen,Bayern München,1-1,0-0
30,2010-04-11,VfL Bochum,Hamburger SV,1-2,1-1
30,2010-04-11,1. FC Nürnberg,VfL Wolfsburg,0-2,0-0
31,2010-04-16,1. FC Köln,VfL Bochum,2-0,1-0
31,2010-04-17,VfB Stuttgart,Bayer Leverkusen,2-1,1-1
31,2010-04-17,VfL Wolfsburg,Werder Bremen,2-4,2-1
31,2010-04-17,FC Schalke 04,Bor. Mönchengladbach,3-1,2-1
31,2010-04-17,Hamburger SV,1. FSV Mainz 05,0-1,0-1
31,2010-04-17,SC Freiburg,1. FC Nürnberg,2-1,1-0
31,2010-04-17,Bayern München,Hannover 96,7-0,3-0
31,2010-04-18,Borussia Dortmund,1899 Hoffenheim,1-1,0-0
31,2010-04-18,Eintracht Frankfurt,Hertha BSC,2-2,1-2
32,2010-04-23,VfL Bochum,VfB Stuttgart,0-2,0-2
32,2010-04-24,Bor. Mönchengladbach,Bayern München,1-1,0-0
32,2010-04-24,1. FC Nürnberg,Borussia Dortmund,2-3,1-1
32,2010-04-24,Hertha BSC,FC Schalke 04,0-1,0-0
32,2010-04-24,Bayer Leverkusen,Hannover 96,3-0,1-0
32,2010-04-24,1. FSV Mainz 05,Eintracht Frankfurt,3-3,1-2
32,2010-04-24,Werder Bremen,1. FC Köln,1-0,0-0
32,2010-04-25,1899 Hoffenheim,Hamburger SV,5-1,3-0
32,2010-04-25,SC Freiburg,VfL Wolfsburg,1-0,1-0
33,2010-05-01,Borussia Dortmund,VfL Wolfsburg,1-1,0-0
33,2010-05-01,Bayer Leverkusen,Hertha BSC,1-1,0-1
33,2010-05-01,Eintracht Frankfurt,1899 Hoffenheim,1-2,1-0
33,2010-05-01,FC Schalke 04,Werder Bremen,0-2,0-0
33,2010-05-01,Bayern München,VfL Bochum,3-1,2-0
33,2010-05-01,Hannover 96,Bor. Mönchengladbach,6-1,4-0
33,2010-05-01,1. FC Köln,SC Freiburg,2-2,1-1
