Round,Date,Time,Team 1,Team 2,FT,HT
7,1969-10-03,20:00,Eintracht Frankfurt,Borussia Dortmund,2-0,1-0
7,1969-10-04,15:30,1. FC Köln,VfB Stuttgart,3-1,2-0
7,1969-10-04,15:30,Hannover 96,Hertha BSC,2-1,1-0
7,1969-10-04,15:30,Bor. Mönchengladbach,Eintracht Braunschweig,1-0,1-0
7,1969-10-04,15:30,Hamburger SV,Alemannia Aachen,4-1,0-0
7,1969-10-04,15:30,1. FC Kaiserslautern,Rot-Weiss Essen,0-0,0-0
7,1969-10-04,15:30,Bayern München,Werder Bremen,4-1,1-0
7,1969-10-04,15:30,Rot-Weiss Oberhausen,TSV 1860 München,3-0,2-0
7,1969-10-04,15:30,FC Schalke 04,MSV Duisburg,0-0,0-0
8,1969-10-10,20:00,MSV Duisburg,Bayern München,4-2,1-1
8,1969-10-10,20:00,TSV 1860 München,FC Schalke 04,0-2,0-1
8,1969-10-11,15:30,Borussia Dortmund,1. FC Kaiserslautern,5-1,1-1
8,1969-10-11,15:30,Rot-Weiss Essen,1. FC Köln,0-0,0-0
8,1969-10-11,15:30,Werder Bremen,Bor. Mönchengladbach,0-0,0-0
8,1969-10-11,15:30,Hertha BSC,Hamburger SV,1-0,0-0
8,1969-10-11,15:30,Eintracht Braunschweig,Eintracht Frankfurt,3-1,0-1
8,1969-10-11,15:30,VfB Stuttgart,Hannover 96,2-1,1-0
8,1969-10-11,15:30,Alemannia Aachen,Rot-Weiss Oberhausen,2-0,1-0
9,1969-10-15,20:00,Bor. Mönchengladbach,MSV Duisburg,4-1,2-1
9,1969-10-15,20:00,Eintracht Frankfurt,Werder Bremen,2-1,0-0
9,1969-10-15,20:00,Hamburger SV,VfB Stuttgart,1-3,1-3
9,1969-10-15,20:00,1. FC Kaiserslautern,Eintracht Braunschweig,2-0,0-0
9,1969-10-15,20:00,Rot-Weiss Oberhausen,Hertha BSC,3-1,1-0
9,1969-10-15,20:00,Borussia Dortmund,Rot-Weiss Essen,4-1,2-1
9,1969-10-15,20:00,FC Schalke 04,Alemannia Aachen,3-0,1-0
9,1969-10-15,20:00,Hannover 96,1. FC Köln,3-4,1-4
9,1969-10-18,15:30,Bayern München,TSV 1860 München,2-0,2-0
10,1969-10-24,20:00,MSV Duisburg,Eintracht Frankfurt,1-1,0-0
10,1969-10-25,15:30,VfB Stuttgart,Rot-Weiss Oberhausen,4-2,3-1
10,1969-10-25,15:30,Werder Bremen,1. FC Kaiserslautern,3-2,3-1
10,1969-10-25,15:30,1. FC Köln,Hamburger SV,3-0,1-0
10,1969-10-25,15:30,Eintracht Braunschweig,Borussia Dortmund,1-1,1-0
10,1969-10-25,15:30,Rot-Weiss Essen,Hannover 96,1-0,1-0
10,1969-10-25,15:30,Hertha BSC,FC Schalke 04,3-0,3-0
10,1969-10-25,15:30,TSV 1860 München,Bor. Mönchengladbach,0-3,0-1
